candidate_id,split_id,seed,transfer_strategy,missing_modality_method,source_route,source_dataset,checkpoint_path,checkpoint_sha256,official_predictions_path,official_predictions_sha256
376e640146b54bfd1dc3,GROUP,101,target_scratch,teacher_student_m2,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/376e640146b54bfd1dc3/predictions.csv,6a2374264401e5a504b9b0841d90f3012f3b5b69e5dcd02e5d7d77f7707a1ba1
6a8467b1ab6f873170a5,GROUP,202,target_scratch,teacher_student_m2,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/6a8467b1ab6f873170a5/predictions.csv,23ff092e4d05349bd4f0b2c88139e623d0d3cbb228d13cba2c3c2c7da3f38b1e
c26dd18da424f8609251,GROUP,303,target_scratch,teacher_student_m2,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/c26dd18da424f8609251/predictions.csv,318fc9990adb2496f22653305fc9d97fb251baf5938a2bf7894794c9b703383d
b900b1d97d24d2c36637,SPATIAL,101,target_scratch,late_fusion,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/b900b1d97d24d2c36637/predictions.csv,9b3cfc96c83a846ec9c807507a30cf0ce2b45c48e97e1c0896c50af51496b127
af1d25b6bdbfa663da09,SPATIAL,202,target_scratch,late_fusion,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/af1d25b6bdbfa663da09/predictions.csv,caaf5bde017131b419a4b136757238e460b99e495107602f7a3553f2e1730ae3
0f43a9296c052c4b7112,SPATIAL,303,target_scratch,late_fusion,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/0f43a9296c052c4b7112/predictions.csv,75bb49bb5e7fd9371c9f13884a1f8bd346b072230a2bee88a32c6446b04c8a03
25d4c203d5581699ba87,SPATIAL,101,target_scratch,teacher_student_m2,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/25d4c203d5581699ba87/predictions.csv,e15603a588a9c72186ec7c3465aa0fa6825032901771d1a992c7a50a794456f8
c57bd706faa29e7d9ef6,SPATIAL,202,target_scratch,teacher_student_m2,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/c57bd706faa29e7d9ef6/predictions.csv,d06bb1bda1d310868e9431bd31b7ff6e05198c0bdd1d04ff918ee6c217926177
19d2af216d1e2ae3562e,SPATIAL,303,target_scratch,teacher_student_m2,supervised,PRIMARY_CYBENCH_MAIZE_US,,,${AGRITECH_PREDICTION_ROOT}/19d2af216d1e2ae3562e/predictions.csv,9b2bb4252e6e53fff9b4596ffd68bb323ed2a13116b76b0182cbccedd3979313
456c26559766c14d6d0a,SPATIAL,101,ordinary_transfer,missing_aware,combined_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/456c26559766c14d6d0a.pt,64a2dc6992a2bfa77229de598d8fc01dbe5feedf628d62b2f028fb3fd9b2beb9,${AGRITECH_PREDICTION_ROOT}/456c26559766c14d6d0a/predictions.csv,0b6dca41c41cad204c72158b9f3c03879bbb6672ed0f7ab39e19438f9da17e44
4c5d1b04ad01a5e698ce,SPATIAL,202,ordinary_transfer,missing_aware,combined_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/4c5d1b04ad01a5e698ce.pt,682dae8168d1d57028e3c309422cd2d4355d9255540156397dd8b97f3ebcd1a6,${AGRITECH_PREDICTION_ROOT}/4c5d1b04ad01a5e698ce/predictions.csv,f658b266b2eb65ed014ac91daf1504459fa543acfa1b54bd254a4077959a30cd
5718c00a0077e7a05412,SPATIAL,303,ordinary_transfer,missing_aware,combined_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/5718c00a0077e7a05412.pt,076cd894a3a0fbd4e3ddf01859fea5538da039ac4eed86eba6fb38f6d16effe1,${AGRITECH_PREDICTION_ROOT}/5718c00a0077e7a05412/predictions.csv,47f3f9def3c7658bb9645aed8488d9247e2486a567a5f0e1443f7a7fcfa1530b
28c2989bf82ec2519035,SPATIAL,101,ordinary_transfer,missing_aware,missing_aware,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/28c2989bf82ec2519035.pt,ef19163f982c3c3f78a4a5dc1f2607820bf8d3813ece494ac89dace673c0fd74,${AGRITECH_PREDICTION_ROOT}/28c2989bf82ec2519035/predictions.csv,5ee7cc8287c040842586da148325cca99d5d20c80b44494ce9dad342ad291880
898f86227cf3e071ed58,SPATIAL,202,ordinary_transfer,missing_aware,missing_aware,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/898f86227cf3e071ed58.pt,17c881246b9f4bbb603ade4e431a86d347ccc89478b0563cd1b33b3fd2c10bc7,${AGRITECH_PREDICTION_ROOT}/898f86227cf3e071ed58/predictions.csv,eddffaf93af537669154cad645aefc5b743615b6409727c08d5a15c448356596
bda99c8e71a8175f5623,SPATIAL,303,ordinary_transfer,missing_aware,missing_aware,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/bda99c8e71a8175f5623.pt,331020be747166ab58a5f7fbc4363ae64c61df363fe7fd9b547c801f20df0551,${AGRITECH_PREDICTION_ROOT}/bda99c8e71a8175f5623/predictions.csv,01a0de8d46b8e5b45948bd91f8c884750084711d86884457e479c57d3f09f244
a117784a2081b6e03ecb,SPATIAL,101,ordinary_transfer,missing_aware,prediction_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/a117784a2081b6e03ecb.pt,0f6db4d4719e891e2205457c994ada63a23eff69af206e27c5a9b84510449b72,${AGRITECH_PREDICTION_ROOT}/a117784a2081b6e03ecb/predictions.csv,90d70e46a6df26e5f340d57764edeba8dbad54358fe8e8560ab363660b94d14c
f5009f2423a9efb71cd2,SPATIAL,202,ordinary_transfer,missing_aware,prediction_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/f5009f2423a9efb71cd2.pt,c05b66f12f28c84751672ab6e36f19eb073eef45c998e0630d1fadddaa2d7a9a,${AGRITECH_PREDICTION_ROOT}/f5009f2423a9efb71cd2/predictions.csv,75253a345b95701a1acb88691ca64b022b1a39da0c004e184b4d8d1e304a400a
67b109cae3bdbff87603,SPATIAL,303,ordinary_transfer,missing_aware,prediction_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/67b109cae3bdbff87603.pt,c2346584aec414c83b1ca81c2ab1453b49b3b8c3b1d03efba4bfa7d2f6e2ef9e,${AGRITECH_PREDICTION_ROOT}/67b109cae3bdbff87603/predictions.csv,0fd9c01d54865a23d7cac1aaa7f8ed13573eebea32d26d21fcbc91bf3adc64a8
5d3be203139ca038859f,SPATIAL,101,ordinary_transfer,missing_aware,representation_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/5d3be203139ca038859f.pt,1273d81eb5672070cfa7719983be4df398ea73b51be9e392833274063be0af6b,${AGRITECH_PREDICTION_ROOT}/5d3be203139ca038859f/predictions.csv,deeaa8c56864494d99a9f979c8097e153b8bc6ae534baeb8ef23ac84f3b44bb5
94011cab73c1a27445bb,SPATIAL,202,ordinary_transfer,missing_aware,representation_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/94011cab73c1a27445bb.pt,081fe902b07d4264f6023c151d9f4cfa338c0a54ddb7940d8cb79934f39587a3,${AGRITECH_PREDICTION_ROOT}/94011cab73c1a27445bb/predictions.csv,ffe8ff1b81784f50e1b771535b30067bf329b3b736184879db15b0cda18a7e97
e005603f261c10c194b5,SPATIAL,303,ordinary_transfer,missing_aware,representation_kd,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/e005603f261c10c194b5.pt,8ec5fd6236b7f822b7e23e613f2ccdd443e47dd5767002abdcbf32905888fb51,${AGRITECH_PREDICTION_ROOT}/e005603f261c10c194b5/predictions.csv,7c8a5c018e9330fe2aec0c8e0518dc93f7eeeb201e7fac133885ad129c3fa97e
6a067e3a2d691f6213c5,SPATIAL,101,ordinary_transfer,missing_aware,supervised,PRIMARY_CYBENCH_MAIZE_US,${AGRITECH_CHECKPOINT_ROOT}/6a067e3a2d691f6213c5.pt,8103ca77bf1d58f9ba637b2e2e9f65f95dae5861212c295ec1f686c140030ed5,${AGRITECH_PREDICTION_ROOT}/6a067e3a2d691f6213c5/predictions.csv,51d15f0e4a71a7ac038baac7fa5a510d8597ae3ec7b216f474c197e3ce93e82b
