comparison,quality_status,contract,method,seed,n_qualified_samples,mean_rank_rho,median_rank_rho,q1_rank_rho,q3_rank_rho,display_estimate
SHAP--IG,completeness_qualified,GROUP_complete,combined_kd,101,92,0.49776021080368915,0.5393939393939393,0.309090909090909,0.709090909090909,True
SHAP--IG,completeness_qualified,GROUP_complete,combined_kd,202,115,0.13191040843214755,0.18787878787878787,-0.3696969696969697,0.6727272727272726,True
SHAP--IG,completeness_qualified,GROUP_complete,combined_kd,303,93,-0.08321928967090256,-0.19999999999999998,-0.35757575757575755,0.17575757575757575,True
SHAP--IG,completeness_qualified,GROUP_complete,missing_aware,101,94,0.40283687943262414,0.35757575757575755,0.21515151515151512,0.5969696969696969,True
SHAP--IG,completeness_qualified,GROUP_complete,missing_aware,202,114,0.25146198830409355,0.2606060606060606,0.04242424242424241,0.49393939393939384,True
SHAP--IG,completeness_qualified,GROUP_complete,missing_aware,303,93,0.08165526230042358,0.09090909090909088,-0.06666666666666665,0.2727272727272727,True
SHAP--IG,completeness_qualified,GROUP_complete,prediction_kd,101,94,0.5548678272082527,0.6424242424242423,0.38181818181818183,0.7575757575757575,True
SHAP--IG,completeness_qualified,GROUP_complete,prediction_kd,202,115,0.38466403162055335,0.6484848484848483,0.024242424242424232,0.8242424242424242,True
SHAP--IG,completeness_qualified,GROUP_complete,prediction_kd,303,92,-0.11594202898550723,-0.17575757575757575,-0.3242424242424242,0.006060606060606061,True
SHAP--IG,completeness_qualified,GROUP_complete,representation_kd,101,94,0.1405544809800129,0.1939393939393939,0.06666666666666665,0.2818181818181818,True
SHAP--IG,completeness_qualified,GROUP_complete,representation_kd,202,115,0.27662714097496705,0.5151515151515151,-0.38181818181818183,0.812121212121212,True
SHAP--IG,completeness_qualified,GROUP_complete,representation_kd,303,93,0.23427826653633108,0.24848484848484845,0.006060606060606061,0.4424242424242424,True
SHAP--IG,completeness_qualified,GROUP_complete,supervised,101,92,0.4808959156785243,0.5575757575757576,0.30606060606060603,0.6757575757575757,True
SHAP--IG,completeness_qualified,GROUP_complete,supervised,202,114,0.3276980329611909,0.6363636363636362,-0.203030303030303,0.7333333333333332,True
SHAP--IG,completeness_qualified,GROUP_complete,supervised,303,93,0.3850765721733463,0.5030303030303029,0.11515151515151514,0.709090909090909,True
SHAP--IG,completeness_qualified,SPATIAL_complete,combined_kd,101,31,0.08543499511241445,0.05454545454545454,-0.10909090909090909,0.309090909090909,True
SHAP--IG,completeness_qualified,SPATIAL_complete,combined_kd,202,27,0.5420875420875421,0.6,0.33333333333333326,0.7454545454545454,True
SHAP--IG,completeness_qualified,SPATIAL_complete,combined_kd,303,31,0.2523949169110459,0.5272727272727272,-0.13939393939393935,0.606060606060606,True
SHAP--IG,completeness_qualified,SPATIAL_complete,missing_aware,101,30,0.027070707070707068,0.018181818181818177,-0.13939393939393938,0.19696969696969696,True
SHAP--IG,completeness_qualified,SPATIAL_complete,missing_aware,202,31,0.3528836754643206,0.5272727272727272,0.012121212121212116,0.6848484848484848,True
SHAP--IG,completeness_qualified,SPATIAL_complete,missing_aware,303,31,0.21876832844574773,0.3696969696969697,-0.10909090909090907,0.5757575757575757,True
SHAP--IG,completeness_qualified,SPATIAL_complete,prediction_kd,101,31,0.41974584555229727,0.49090909090909085,0.303030303030303,0.6848484848484848,True
SHAP--IG,completeness_qualified,SPATIAL_complete,prediction_kd,202,31,0.6488758553274682,0.8060606060606059,0.3939393939393939,0.8787878787878788,True
SHAP--IG,completeness_qualified,SPATIAL_complete,prediction_kd,303,31,0.0064516129032258125,0.01818181818181818,-0.3151515151515151,0.3696969696969697,True
SHAP--IG,completeness_qualified,SPATIAL_complete,representation_kd,101,30,0.38626262626262625,0.48484848484848475,0.29696969696969694,0.5636363636363636,True
SHAP--IG,completeness_qualified,SPATIAL_complete,representation_kd,202,25,0.5490909090909091,0.6,0.49090909090909085,0.6969696969696969,True
SHAP--IG,completeness_qualified,SPATIAL_complete,representation_kd,303,31,0.24965786901270776,0.2606060606060606,0.18181818181818182,0.36363636363636365,True
SHAP--IG,completeness_qualified,SPATIAL_complete,supervised,101,29,0.36718913270637404,0.41818181818181815,0.18787878787878787,0.5757575757575757,True
SHAP--IG,completeness_qualified,SPATIAL_complete,supervised,202,31,0.5386119257086999,0.6,0.29696969696969694,0.7393939393939393,True
SHAP--IG,completeness_qualified,SPATIAL_complete,supervised,303,31,0.27859237536656895,0.3696969696969697,0.07272727272727271,0.5696969696969696,True
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,combined_kd,101,1,0.9393939393939393,0.9393939393939393,0.9393939393939393,0.9393939393939393,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,combined_kd,202,1,0.6121212121212121,0.6121212121212121,0.6121212121212121,0.6121212121212121,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,combined_kd,303,4,-0.08787878787878789,-0.1515151515151515,-0.3606060606060606,0.1212121212121212,True
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,missing_aware,101,1,0.32121212121212117,0.32121212121212117,0.32121212121212117,0.32121212121212117,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,missing_aware,202,2,0.47878787878787876,0.47878787878787876,0.3333333333333333,0.6242424242424243,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,prediction_kd,202,1,0.5515151515151515,0.5515151515151515,0.5515151515151515,0.5515151515151515,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,prediction_kd,303,3,-0.0505050505050505,0.10303030303030303,-0.18181818181818177,0.15757575757575756,True
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,representation_kd,101,1,0.1515151515151515,0.1515151515151515,0.1515151515151515,0.1515151515151515,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,representation_kd,303,3,0.38585858585858585,0.406060606060606,0.3333333333333333,0.44848484848484843,True
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,supervised,202,3,0.6969696969696968,0.6969696969696969,0.6727272727272726,0.7212121212121212,True
SHAP--Taylor,local_fidelity_qualified_diagnostic,GROUP_complete,supervised,303,2,0.6666666666666665,0.6666666666666665,0.6393939393939393,0.6939393939393939,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,SPATIAL_complete,prediction_kd,303,1,-0.5515151515151515,-0.5515151515151515,-0.5515151515151515,-0.5515151515151515,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,SPATIAL_complete,representation_kd,303,1,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,False
SHAP--Taylor,local_fidelity_qualified_diagnostic,SPATIAL_complete,supervised,202,4,0.40909090909090906,0.4363636363636363,0.36666666666666664,0.47878787878787876,True
