experiment_id,dataset_track,view_id,deployment_axis,axis_class,random_selected_model,deployment_best_model,random_selected_random_mae,random_selected_deployment_mae,deployment_best_mae,deployment_regret_mae,ranking_reversal,random_source_trusted,deployment_source_trusted,diagnostic_model_involved,evidence_role,source_table
S7-AUS-REG-007,Australian_regional,regional_modern_enriched_full_environment,state_holdout,group_or_spatial,hist_gradient_boosting,random_forest,0.1292745373190693,0.7306397057043598,0.7108787519911299,0.0197609537132298,True,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-AUS-REG-007,Australian_regional,regional_modern_enriched_full_environment,temporal_forward,temporal,hist_gradient_boosting,random_forest,0.1292745373190693,0.931995679703014,0.8162179498883676,0.1157777298146464,True,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-MAIZE-AXIS-002,CY-Bench_maize_US,stage4_cybench_maize_us_fixed_expert_local,spatiotemporal,temporal,random_forest,hist_gradient_boosting,0.2962471087743452,0.8308037326334574,0.6033270166244201,0.2274767160090373,True,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-MAIZE-AXIS-002,CY-Bench_maize_US,stage4_cybench_maize_us_fixed_expert_local,temporal_forward,temporal,random_forest,hist_gradient_boosting,0.2962471087743452,0.6930234322974177,0.5745581291896753,0.1184653031077423,True,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-MAIZE-AXIS-002,CY-Bench_maize_US,stage4_cybench_maize_us_fixed_expert_local,unseen_location,group_or_spatial,random_forest,random_forest,0.2962471087743452,0.3104554558965423,0.3104554558965423,0.0,False,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-STACK-003,CY-Bench_fixed_experts,stage4_cybench_ensemble_and_oracle,spatiotemporal,temporal,learned_gate_diagnostic,oracle_best_expert_diagnostic,0.3196413480706598,0.674087582537231,0.3354557057337493,0.3386318768034817,True,True,True,True,heterogeneous_diagnostic_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-STACK-003,CY-Bench_fixed_experts,stage4_cybench_ensemble_and_oracle,temporal_forward,temporal,learned_gate_diagnostic,best_single,0.3196413480706598,1.0669766465963555,1.0460455067648025,0.020931139831553,True,True,True,True,heterogeneous_diagnostic_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-STACK-003,CY-Bench_fixed_experts,stage4_cybench_ensemble_and_oracle,unseen_location,group_or_spatial,learned_gate_diagnostic,best_single,0.3196413480706598,0.6489664995838639,0.1693840499318843,0.4795824496519796,True,True,True,True,heterogeneous_diagnostic_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-WHEAT-AXIS-001,CY-Bench_wheat_US,stage4_cybench_wheat_us_fixed_expert_local,spatiotemporal,temporal,hist_gradient_boosting,hist_gradient_boosting,0.2873319130609552,0.4632342189195407,0.4632342189195407,0.0,False,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-WHEAT-AXIS-001,CY-Bench_wheat_US,stage4_cybench_wheat_us_fixed_expert_local,temporal_forward,temporal,hist_gradient_boosting,hist_gradient_boosting,0.2873319130609552,0.424038052056203,0.424038052056203,0.0,False,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-CYB-WHEAT-AXIS-001,CY-Bench_wheat_US,stage4_cybench_wheat_us_fixed_expert_local,unseen_location,group_or_spatial,hist_gradient_boosting,hist_gradient_boosting,0.2873319130609552,0.3077976609698015,0.3077976609698015,0.0,False,True,True,False,heterogeneous_empirical_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-G2F-NATIVE-004,G2F_native,g2f_native,temporal_forward,temporal,oracle_best_expert_diagnostic,oracle_best_expert_diagnostic,1.3624686916647135,1.3624686916647135,1.3624686916647135,0.0,False,True,True,True,heterogeneous_diagnostic_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-G2F-NATIVE-004,G2F_native,g2f_native,unseen_environment,group_or_spatial,oracle_best_expert_diagnostic,hist_gradient_boosting,1.3624686916647135,3.61699900819629,2.118943478034024,1.498055530162266,True,True,True,True,heterogeneous_diagnostic_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
S7-G2F-NATIVE-004,G2F_native,g2f_native,unseen_hybrid,group_or_spatial,oracle_best_expert_diagnostic,hist_gradient_boosting,1.3624686916647135,3.61699900819629,2.118943478034024,1.498055530162266,True,True,True,True,heterogeneous_diagnostic_motivation,outputs/tables/stage7_6_random_selected_model_regret.csv
