contract,method,seed,n_groups,spearman_rho,top_attribution_group,top_stress_group,top_group_match
GROUP_complete,combined_kd,101,4,-0.6000000000000001,radiation,observation_support,False
GROUP_complete,combined_kd,202,4,-0.6000000000000001,water_balance,observation_support,False
GROUP_complete,combined_kd,303,4,0.7999999999999999,water_balance,water_balance,True
GROUP_complete,missing_aware,101,4,1.0,radiation,radiation,True
GROUP_complete,missing_aware,202,4,-0.19999999999999998,temperature,observation_support,False
GROUP_complete,missing_aware,303,4,0.39999999999999997,radiation,radiation,True
GROUP_complete,prediction_kd,101,4,-0.7999999999999999,radiation,temperature,False
GROUP_complete,prediction_kd,202,4,-0.39999999999999997,radiation,observation_support,False
GROUP_complete,prediction_kd,303,4,0.19999999999999998,temperature,water_balance,False
GROUP_complete,representation_kd,101,4,0.39999999999999997,radiation,radiation,True
GROUP_complete,representation_kd,202,4,-0.39999999999999997,temperature,observation_support,False
GROUP_complete,representation_kd,303,4,0.19999999999999998,observation_support,temperature,False
GROUP_complete,supervised,101,4,0.6000000000000001,water_balance,radiation,False
GROUP_complete,supervised,202,4,0.0,water_balance,observation_support,False
GROUP_complete,supervised,303,4,0.39999999999999997,radiation,radiation,True
SPATIAL_complete,combined_kd,101,4,-0.7999999999999999,radiation,observation_support,False
SPATIAL_complete,combined_kd,202,4,-0.7999999999999999,radiation,observation_support,False
SPATIAL_complete,combined_kd,303,4,-1.0,radiation,observation_support,False
SPATIAL_complete,missing_aware,101,4,-0.19999999999999998,water_balance,temperature,False
SPATIAL_complete,missing_aware,202,4,0.6000000000000001,radiation,temperature,False
SPATIAL_complete,missing_aware,303,4,0.7999999999999999,radiation,radiation,True
SPATIAL_complete,prediction_kd,101,4,-0.6000000000000001,radiation,temperature,False
SPATIAL_complete,prediction_kd,202,4,-0.39999999999999997,radiation,observation_support,False
SPATIAL_complete,prediction_kd,303,4,0.6000000000000001,radiation,temperature,False
SPATIAL_complete,representation_kd,101,4,-0.39999999999999997,water_balance,radiation,False
SPATIAL_complete,representation_kd,202,4,0.19999999999999998,radiation,radiation,True
SPATIAL_complete,representation_kd,303,4,0.19999999999999998,temperature,temperature,True
SPATIAL_complete,supervised,101,4,-0.39999999999999997,radiation,observation_support,False
SPATIAL_complete,supervised,202,4,-0.39999999999999997,radiation,observation_support,False
SPATIAL_complete,supervised,303,4,0.39999999999999997,radiation,radiation,True
