contract,seed,data_model,apsim_condition,n,mean_abs_error_difference_data_minus_apsim,ci_low,ci_high,bootstrap_replicates,interpretation
GROUP,101,local_scratch,available_central,94,-0.38443460495952264,-0.5233954679028848,-0.2435118845944438,10000,negative favours data-driven; positive favours APSIM
GROUP,101,local_scratch,constrained_central,94,-0.27452869015848386,-0.41748038074385396,-0.1234718580809947,10000,negative favours data-driven; positive favours APSIM
GROUP,101,supervised_transfer,available_central,94,-0.007730690782054801,-0.1890994133393284,0.17525501894443785,10000,negative favours data-driven; positive favours APSIM
GROUP,101,supervised_transfer,constrained_central,94,0.10217522401898413,-0.03948062413279386,0.24477311735077456,10000,negative favours data-driven; positive favours APSIM
GROUP,101,validation_selected_weather_transfer,available_central,94,-0.24120586760341847,-0.4005077460148624,-0.08193206590778888,10000,negative favours data-driven; positive favours APSIM
GROUP,101,validation_selected_weather_transfer,constrained_central,94,-0.13129995280237958,-0.2683028612161744,0.006758064055201285,10000,negative favours data-driven; positive favours APSIM
GROUP,202,local_scratch,available_central,115,-0.32212264433706383,-0.46720673621128433,-0.1756810320664457,10000,negative favours data-driven; positive favours APSIM
GROUP,202,local_scratch,constrained_central,115,-0.10427930852021305,-0.2351766704586805,0.029488775933455624,10000,negative favours data-driven; positive favours APSIM
GROUP,202,supervised_transfer,available_central,115,-0.3560882448028557,-0.4903893915609863,-0.22007116699301718,10000,negative favours data-driven; positive favours APSIM
GROUP,202,supervised_transfer,constrained_central,115,-0.13824490898600506,-0.2489830522293789,-0.02762914855704877,10000,negative favours data-driven; positive favours APSIM
GROUP,202,validation_selected_weather_transfer,available_central,115,-0.34441530862871195,-0.49135899724811843,-0.19702858511047341,10000,negative favours data-driven; positive favours APSIM
GROUP,202,validation_selected_weather_transfer,constrained_central,115,-0.12657197281186114,-0.25519771321728824,0.00272511164500422,10000,negative favours data-driven; positive favours APSIM
GROUP,303,local_scratch,available_central,93,-0.2864962084144052,-0.44497113992311454,-0.1284753096996913,10000,negative favours data-driven; positive favours APSIM
GROUP,303,local_scratch,constrained_central,93,-0.2790310843208825,-0.41556558469399324,-0.1426945694619895,10000,negative favours data-driven; positive favours APSIM
GROUP,303,supervised_transfer,available_central,93,-0.09209584155998621,-0.28802290028988636,0.10696534297204481,10000,negative favours data-driven; positive favours APSIM
GROUP,303,supervised_transfer,constrained_central,93,-0.08463071746646343,-0.24790062828893508,0.07247192267056843,10000,negative favours data-driven; positive favours APSIM
GROUP,303,validation_selected_weather_transfer,available_central,93,-0.0818936881695325,-0.24351144445892742,0.08367160661251516,10000,negative favours data-driven; positive favours APSIM
GROUP,303,validation_selected_weather_transfer,constrained_central,93,-0.07442856407600976,-0.2158691876722334,0.06266267670815749,10000,negative favours data-driven; positive favours APSIM
SPATIAL,101,local_scratch,available_central,31,0.0617099043712323,-0.25837536112819026,0.35726265277121144,10000,negative favours data-driven; positive favours APSIM
SPATIAL,101,local_scratch,constrained_central,31,0.1474272623924066,-0.23675397269764037,0.5266056446223555,10000,negative favours data-driven; positive favours APSIM
SPATIAL,101,supervised_transfer,available_central,31,-0.15313387187706637,-0.4285726255885587,0.1140446762655685,10000,negative favours data-driven; positive favours APSIM
SPATIAL,101,supervised_transfer,constrained_central,31,-0.06741651385589209,-0.28692545745238757,0.15272324606819088,10000,negative favours data-driven; positive favours APSIM
SPATIAL,101,validation_selected_weather_transfer,available_central,31,-0.024074822578380013,-0.4176595608488695,0.35453251072612246,10000,negative favours data-driven; positive favours APSIM
SPATIAL,101,validation_selected_weather_transfer,constrained_central,31,0.06164253544279425,-0.26132793317583036,0.3681516359252306,10000,negative favours data-driven; positive favours APSIM
SPATIAL,202,local_scratch,available_central,31,0.0617099043712323,-0.25837536112819026,0.35726265277121144,10000,negative favours data-driven; positive favours APSIM
SPATIAL,202,local_scratch,constrained_central,31,0.1474272623924066,-0.23675397269764037,0.5266056446223555,10000,negative favours data-driven; positive favours APSIM
SPATIAL,202,supervised_transfer,available_central,31,0.02296024701031193,-0.3057944766733232,0.34048506505039605,10000,negative favours data-driven; positive favours APSIM
SPATIAL,202,supervised_transfer,constrained_central,31,0.10867760503148627,-0.2850714673673487,0.5133219100696457,10000,negative favours data-driven; positive favours APSIM
SPATIAL,202,validation_selected_weather_transfer,available_central,31,-0.18098509136194937,-0.4859283437434213,0.10277473537241441,10000,negative favours data-driven; positive favours APSIM
SPATIAL,202,validation_selected_weather_transfer,constrained_central,31,-0.09526773334077507,-0.3634599778741554,0.1531289148296178,10000,negative favours data-driven; positive favours APSIM
SPATIAL,303,local_scratch,available_central,31,0.0617099043712323,-0.25837536112819026,0.35726265277121144,10000,negative favours data-driven; positive favours APSIM
SPATIAL,303,local_scratch,constrained_central,31,0.1474272623924066,-0.23675397269764037,0.5266056446223555,10000,negative favours data-driven; positive favours APSIM
SPATIAL,303,supervised_transfer,available_central,31,-0.2245352718586574,-0.5615223678666637,0.09561074945241321,10000,negative favours data-driven; positive favours APSIM
SPATIAL,303,supervised_transfer,constrained_central,31,-0.13881791383748313,-0.5269175953421614,0.2383861681347602,10000,negative favours data-driven; positive favours APSIM
SPATIAL,303,validation_selected_weather_transfer,available_central,31,-0.25345243659968125,-0.48962338572505637,-0.052483122768545006,10000,negative favours data-driven; positive favours APSIM
SPATIAL,303,validation_selected_weather_transfer,constrained_central,31,-0.16773507857850697,-0.4389611790105905,0.10379260167015569,10000,negative favours data-driven; positive favours APSIM
