contract,condition,model,runs,n_mean,mae_mean,mae_sd,rmse_mean,rmse_sd,r2_mean,r2_sd,bias_mean,bias_sd,coverage_min,failures_total,zero_grain_outputs_mean
GROUP,available_central,APSIM,3,100.66666666666667,1.059912869700809,0.03949191826665353,1.2738674341939533,0.058097768731857534,-0.8726166852784738,1.170240599796904,-0.07760851941670785,0.0376097373927768,1.0,0,11.666666666666666
GROUP,constrained_central,APSIM,3,100.66666666666667,0.9481747447970049,0.14460960021579922,1.1809887177717517,0.1481061800749353,-0.5008695223348301,0.6588554141533675,-0.27453402168297397,0.18335636077388962,1.0,0,6.0
GROUP,data_driven,local_scratch,3,100.66666666666667,0.7288950504638118,0.07512996692277624,0.9187364287542436,0.07271624694867587,0.045112005567088574,0.5558560873622932,-0.05584710671312058,0.23903313850308594,1.0,0,
GROUP,data_driven,supervised_transfer,3,100.66666666666667,0.907941277319177,0.2106892083167401,1.093489755758784,0.2360104831194775,-0.20680169011080327,0.2712229534230605,0.012825374130933312,0.2162381696419769,1.0,0,
GROUP,data_driven,validation_selected_weather_transfer,3,100.66666666666667,0.8374079149002549,0.17169034638300368,1.0232304204897549,0.1626784451406813,-0.10533450728105069,0.4288464079309734,0.027728522268210428,0.14654790590967146,1.0,0,
GROUP,sens_cultivar_janz,APSIM,3,100.66666666666667,1.0134737211862215,0.05837774744465681,1.2381290980882405,0.06700677734320562,-0.7583120017440089,1.0750467334441531,0.04476875068763233,0.18557359506233215,1.0,0,6.0
GROUP,sens_cultivar_mace,APSIM,3,100.66666666666667,1.038374132987111,0.007169109712998436,1.2630451835551177,0.029370108853371196,-0.881425632671801,1.2677413563505804,0.16269108769028373,0.18231677961134585,1.0,0,5.666666666666667
GROUP,sens_fertiliser_0,APSIM,3,100.66666666666667,1.1526102970764909,0.2717796216351218,1.4155067515608089,0.30886028341251837,-1.01708423364898,0.43620120066808976,-0.9657966776545063,0.27450051390202346,1.0,0,6.0
GROUP,sens_fertiliser_100,APSIM,3,100.66666666666667,1.055112499176066,0.049503811563139634,1.2846342522372078,0.07964111645593573,-0.9049967052262661,1.2042735825016446,0.15433325769835213,0.14959452820866415,1.0,0,6.0
GROUP,sens_no3_100,APSIM,3,100.66666666666667,1.0145972926890698,0.07011516654707595,1.2348871501500593,0.08682420938386691,-0.7374744462157228,1.0410181344986298,0.046540210366530554,0.15019233899328527,1.0,0,6.0
GROUP,sens_no3_25,APSIM,3,100.66666666666667,0.9667126035961212,0.1900235479829841,1.2131979072893215,0.20504927769106843,-0.5306407763667241,0.505079075952391,-0.48561974976135075,0.21249338471366966,1.0,0,6.0
GROUP,sens_sowing_+14,APSIM,3,100.66666666666667,0.9550097549332612,0.15748246057808396,1.1986486138355767,0.16193122417243497,-0.5298832151199201,0.6172186813181779,-0.3240495755697016,0.18721099137846647,1.0,0,5.666666666666667
GROUP,sens_sowing_-14,APSIM,3,100.66666666666667,0.9426010625011347,0.14539425454334365,1.1729746744333889,0.1416322634157277,-0.4822560230149054,0.6513321635297522,-0.19493898760741726,0.2016970992629545,1.0,0,5.666666666666667
GROUP,sens_water_0.25,APSIM,3,100.66666666666667,1.2019383776654786,0.1339118692183733,1.4628545796008894,0.14839067967352093,-1.3304396311651552,1.07709892847323,-0.9727063760946665,0.18085157458805334,1.0,0,10.666666666666666
GROUP,sens_water_0.75,APSIM,3,100.66666666666667,1.0436426626299204,0.05171198029823535,1.2557774465808322,0.07535416410369675,-0.7767839109446687,0.9867305941462912,0.5494268157978653,0.22731804128925445,1.0,0,0.6666666666666666
SPATIAL,available_central,APSIM,3,31.0,1.1425011720336904,0.0,1.3882551906564593,0.0,-0.4941531525026004,0.0,-0.1407890081074019,0.0,1.0,0,4.0
SPATIAL,constrained_central,APSIM,3,31.0,1.0567838140125163,0.0,1.3010564484643419,0.0,-0.31234730168161096,0.0,-0.5763906223622425,0.0,1.0,0,3.0
SPATIAL,data_driven,local_scratch,3,31.0,1.204211076404923,0.0,1.5939518073461816,0.0,-0.9697308029675433,0.0,-0.17186048733438067,0.0,1.0,0,
SPATIAL,data_driven,supervised_transfer,3,31.0,1.02426487312522,0.12738480448773679,1.2138978519014694,0.17447354397453493,-0.1581402919919731,0.34172774846881415,0.1798627061331144,0.5534363191820342,1.0,0,
SPATIAL,data_driven,validation_selected_weather_transfer,3,31.0,0.9896637218536869,0.11725075578266825,1.1331159241885107,0.12381393654179401,-0.003340578845294854,0.2242418808016325,-0.12971569080762968,0.17511622027614313,1.0,0,
SPATIAL,sens_cultivar_janz,APSIM,3,31.0,1.051300636815014,0.0,1.302571649976031,0.0,-0.31540578311400447,0.0,-0.2535242641886621,0.0,1.0,0,3.0
