condition,route,seed,n,mae,rmse,r2,source_dataset,split_id,source_job_id
complete,combined_kd,101,9677,0.46269824633608675,0.6333656559031524,0.14163881145600854,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,b37f562a4808af785ac7
complete,combined_kd,202,9677,0.46365855746768386,0.6349479794450115,0.13734460418278804,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,907cee0a442fc7dedfcc
complete,combined_kd,303,9677,0.47022583193738093,0.6416223117816496,0.11911347312550735,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,e186b7d52acf85e00093
complete,missing_aware,101,9677,0.46643343912822177,0.6383673834216221,0.12802821883846072,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,aeacd005e2e141825d52
complete,missing_aware,202,9677,0.4700519172285687,0.6401833161303243,0.1230602512070732,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,008f96fb059d6e6bd055
complete,missing_aware,303,9677,0.4687477071377147,0.6396435058163751,0.12453852009926414,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,6adb7b17d617b8b6f50a
complete,prediction_kd,101,9677,0.46558702251370854,0.6363830664658638,0.13344071086310816,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,d8c926420f86540e7210
complete,prediction_kd,202,9677,0.4677936402191071,0.6391319389485288,0.12593829354205666,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,9100ba994eb6ccc02627
complete,prediction_kd,303,9677,0.47517761298429256,0.6465405035181541,0.10555729501238376,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,7d77b236f4b154d5d921
complete,representation_kd,101,9677,0.4672173594194614,0.6390534217102245,0.12615303698262736,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,dd4abf0342a3172ea352
complete,representation_kd,202,9677,0.47213149284712846,0.6429622866941379,0.1154303144413853,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,67fb438c1c1c4ad6b422
complete,representation_kd,303,9677,0.47942900779482095,0.6500518353306647,0.09581555859907065,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,5688c9eb3fadc17271e8
complete,scratch,101,9677,0.46535563715873124,0.6373284753925362,0.1308640821922421,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,3d6a9b00d299c3efadd2
complete,scratch,202,9677,0.46535563715873124,0.6373284753925362,0.1308640821922421,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,8e780f18620390d4349a
complete,scratch,303,9677,0.46535563715873124,0.6373284753925362,0.1308640821922421,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,3525d456138c1a7c9cf7
complete,supervised,101,9677,0.4650649305327662,0.6350837551320917,0.13697562859419754,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,4c3ad52add8a84769abe
complete,supervised,202,9677,0.4676592934679318,0.6398660501779704,0.12392923412428714,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,3a7e19ac3c9cb43c2d2d
complete,supervised,303,9677,0.46246485854520697,0.6349267672522514,0.13740224199713735,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,512330771d9d9871bf93
no_soil,combined_kd,101,9677,0.46269824633608675,0.6333656559031524,0.14163881145600854,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,809011b2d8acf19bc48a
no_soil,combined_kd,202,9677,0.46365855746768386,0.6349479794450115,0.13734460418278804,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,c3744b24ff2244ce8e7f
no_soil,combined_kd,303,9677,0.47022583193738093,0.6416223117816496,0.11911347312550735,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,a0899ffb24cb025e7aa8
no_soil,missing_aware,101,9677,0.46643343912822177,0.6383673834216221,0.12802821883846072,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,89eb0d5c7701d633d8c7
no_soil,missing_aware,202,9677,0.4700519172285687,0.6401833161303243,0.1230602512070732,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,efa31c6b97086885a042
no_soil,missing_aware,303,9677,0.4687477071377147,0.6396435058163751,0.12453852009926414,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,53a306c5b4c0deab532e
no_soil,prediction_kd,101,9677,0.46558702251370854,0.6363830664658638,0.13344071086310816,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,05aba925a6610dd86e61
no_soil,prediction_kd,202,9677,0.4677936402191071,0.6391319389485288,0.12593829354205666,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,4ff84de550e5d8a069f5
no_soil,prediction_kd,303,9677,0.47517761298429256,0.6465405035181541,0.10555729501238376,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,d985a4c0e0f1404a1447
no_soil,representation_kd,101,9677,0.4672173594194614,0.6390534217102245,0.12615303698262736,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,ad0677fdb7d771e7e057
no_soil,representation_kd,202,9677,0.47213149284712846,0.6429622866941379,0.1154303144413853,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,81c2d2daf57724135ac3
no_soil,representation_kd,303,9677,0.47942900779482095,0.6500518353306647,0.09581555859907065,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,29d5e9f65d91d1829afd
no_soil,scratch,101,9677,0.49862622812638285,0.6667872667844473,0.04866024043962991,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,02ae7e961c45da65f1b1
no_soil,scratch,202,9677,0.49862622812638285,0.6667872667844473,0.04866024043962991,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,6f5a58dcd31fe10bcd57
no_soil,scratch,303,9677,0.49862622812638285,0.6667872667844473,0.04866024043962991,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,9c8796c3eb2fcf765246
no_soil,supervised,101,9677,0.4650649305327662,0.6350837551320917,0.13697562859419754,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,74d9189785dfb8efba3f
no_soil,supervised,202,9677,0.4676592934679318,0.6398660501779704,0.12392923412428714,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,741ecb121e8c739e085a
no_soil,supervised,303,9677,0.46246485854520697,0.6349267672522514,0.13740224199713735,PRIMARY_CYBENCH_MAIZE_US,SPATIAL,7c60ac8e398fd5577d7f
