state,year,production_kt,area_kha,observed_yield_t_ha,growing_season_rainfall_mm,rainfall_day_count,mean_max_temp_c,mean_min_temp_c,extreme_heat_days,frost_days,water_balance_proxy_mm
South Australia,1890.0,396.5,745.8,0.531644,503.09999999999997,115,18.46869158878505,9.602803738317757,0,0,-73.70000000000002
South Australia,1891.0,255.7,677.3,0.377528,277.3,100,18.43177570093458,9.235514018691589,0,0,-298.4
South Australia,1892.0,175.1,628.3,0.278689,433.1,110,18.233644859813083,9.253738317757009,0,0,-136.0
South Australia,1893.0,251.3,615.4,0.408352,510.7,124,18.153271028037384,9.524766355140187,0,0,-66.0
South Australia,1894.0,370.4,701.2,0.528237,475.7,113,18.121028037383176,9.544859813084111,0,0,-95.3
South Australia,1895.0,211.6,638.2,0.331558,424.8,108,18.534579439252337,9.574299065420561,0,0,-172.29999999999998
South Australia,1896.0,161.3,571.0,0.282487,259.7,90,18.176168224299065,9.063551401869159,0,0,-329.6
South Australia,1897.0,76.3,685.4,0.111322,309.8,89,18.260280373831776,9.521028037383177,0,0,-281.8
South Australia,1898.0,109.2,616.2,0.177215,472.7,101,18.232710280373833,9.618691588785047,0,0,-121.10000000000001
South Australia,1899.0,238.8,723.9,0.32988,343.3,84,18.269158878504673,9.27196261682243,0,0,-247.1
South Australia,1900.0,229.9,737.0,0.31194,427.7,125,17.578971962616823,9.317757009345794,0,0,-133.1
South Australia,1901.0,306.1,774.3,0.395325,382.6,101,18.05,9.27803738317757,0,0,-211.5
South Australia,1902.0,217.9,705.6,0.308815,299.0,96,18.97429906542056,9.439719626168223,0,0,-326.6
South Australia,1903.0,172.9,706.9,0.244589,458.4,107,18.147196261682243,9.215420560747663,0,0,-122.0
South Australia,1904.0,359.3,692.5,0.518845,444.2,106,18.742056074766356,8.992056074766355,0,0,-152.9
South Australia,1905.0,327.0,744.7,0.439103,549.2,125,17.905140186915887,8.65981308411215,0,0,-16.19999999999999
South Australia,1906.0,547.9,711.1,0.770496,553.5,116,18.367289719626168,9.94158878504673,0,0,-24.099999999999998
South Australia,1907.0,475.1,682.5,0.696117,435.1,110,18.367289719626168,9.321495327102804,0,0,-167.7
South Australia,1908.0,520.5,709.7,0.733408,600.0,112,17.47429906542056,8.958878504672898,0,0,25.5
South Australia,1909.0,527.6,685.4,0.769769,650.6,123,17.189252336448597,9.116822429906541,0,0,93.89999999999999
South Australia,1910.0,683.6,767.2,0.891032,512.6,119,17.97196261682243,9.866822429906541,0,0,-50.499999999999986
South Australia,1911.0,662.2,851.8,0.777413,341.5,107,18.22196261682243,9.589719626168224,0,0,-244.3
South Australia,1912.0,553.6,886.6,0.624408,417.3,95,18.335981308411217,9.603271028037383,0,0,-178.9
South Australia,1913.0,584.7,841.6,0.694748,305.9,83,18.44859813084112,9.571495327102804,0,0,-296.0
South Australia,1914.0,460.7,917.8,0.501961,181.8,72,19.766355140186917,9.916355140186916,0,0,-473.1
South Australia,1915.0,95.9,1012.8,0.094688,498.0,106,17.920093457943924,10.105607476635514,0,0,-76.5
South Australia,1916.0,928.5,1108.5,0.837618,601.0,114,17.594859813084113,9.700467289719626,0,0,41.099999999999994
South Australia,1917.0,1244.3,1124.4,1.106635,581.6,116,17.43644859813084,9.544859813084111,0,0,33.2
South Australia,1918.0,780.4,953.3,0.81863,419.9,98,18.4785046728972,9.906074766355141,0,0,-171.1
South Australia,1919.0,623.9,884.8,0.705131,355.6,87,19.176168224299065,9.776635514018691,1,0,-270.8
South Australia,1920.0,407.5,779.8,0.52257,565.2,103,17.84626168224299,9.589719626168224,0,0,1.4000000000000057
South Australia,1921.0,931.8,877.2,1.062244,451.6,83,19.105607476635512,10.202803738317757,0,0,-151.9
South Australia,1922.0,678.5,964.8,0.703255,484.6,105,18.204205607476634,9.571495327102804,1,0,-100.9
South Australia,1923.0,782.9,992.8,0.788578,760.2,120,18.41728971962617,10.201401869158879,0,0,171.6
South Australia,1924.0,939.8,978.7,0.960253,479.6,116,18.017289719626167,9.160747663551403,0,0,-99.4
South Australia,1925.0,830.4,1011.7,0.820797,380.2,106,18.203738317757008,9.314953271028038,0,0,-221.5
South Australia,1926.0,778.0,997.8,0.779715,564.5,114,18.322897196261682,9.853738317757008,0,0,-29.100000000000005
South Australia,1927.0,967.2,1120.4,0.863263,338.4,85,18.241121495327103,9.122429906542056,0,0,-275.0
South Australia,1928.0,654.6,1190.4,0.549899,395.7,90,18.851401869158877,9.849532710280375,0,0,-224.8
South Australia,1929.0,729.7,1394.4,0.523308,303.5,91,17.69859813084112,8.962616822429906,0,0,-300.0
South Australia,1930.0,635.0,1475.4,0.430392,435.2,99,18.867757009345794,9.987383177570095,0,0,-171.9
South Australia,1931.0,948.5,1691.8,0.560645,477.1,117,17.450934579439252,9.589252336448597,0,0,-88.1
South Australia,1932.0,1308.1,1647.7,0.793895,530.7,119,17.629906542056077,9.729439252336448,0,0,-10.900000000000004
South Australia,1933.0,1154.1,1645.8,0.70124,429.9,95,18.24018691588785,9.389252336448598,1,0,-141.9
South Australia,1934.0,962.2,1546.7,0.622099,367.2,93,18.97710280373832,9.735046728971964,0,0,-241.6
South Australia,1935.0,746.5,1290.3,0.578548,440.1,117,18.28411214953271,9.9303738317757,0,0,-144.0
South Australia,1936.0,859.9,1209.8,0.710779,319.2,95,18.26448598130841,9.674299065420561,0,0,-286.59999999999997
South Australia,1937.0,781.0,1237.7,0.631009,371.0,92,18.442056074766356,9.878504672897197,0,0,-232.2
South Australia,1938.0,1181.3,1279.5,0.923251,366.2,90,18.716822429906543,9.819158878504673,1,0,-265.5
South Australia,1939.0,861.5,1246.6,0.69108,423.40000000000003,102,18.370560747663554,9.825233644859813,0,0,-152.6
South Australia,1940.0,1117.2,1106.7,1.009488,316.0,97,18.54018691588785,9.368224299065421,1,0,-307.3
South Australia,1941.0,485.7,1036.2,0.468732,426.2,101,18.255140186915888,10.168691588785046,0,0,-162.7
